Code	Description
4289	Heart failure NOS
4280	Congestive heart failure, unspecified
27800	Obesity NOS
27801	Morbid obesity
27802	Overweight
311	Depressive disorder NEC
49390	Asthma NOS
49391	Asthma w status asthmat
49392	Asthma NOS w (ac) exac
25000	Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled
25001	Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled
25002	Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled
